grid,column,row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,4,-0.5,21,20.02167654,12.05815972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,5,-0.5,60,33.13226123,13.85555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,5,-0.5,32,23.24284592,12.95295139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,5,-0.57,28,22.4534306,12.05034722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,5,-0.57,27,22.76401529,11.64774306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,5,-0.57,32,21.17459998,12.24513889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,5,-0.5,32,22.48518466,12.64253472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,5,-0.34,28,20.69576935,12.53993056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,5,-0.34,39,18.70635404,11.73732639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,6,-0.57,20,37.61693873,12.63472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,6,-0.57,21,41.72752341,12.23211806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,6,-0.5,17,28.6381081,12.12951389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,6,-0.5,22,22.54869279,11.92690972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,6,-0.42,32,21.75927747,12.22430556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,6,-0.34,32,18.96986216,12.52170139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,6,-0.09,22,21.58044685,12.31909722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,6,-0.17,58,16.39103154,12.61649306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,7,-0.64,33,43.20161622,12.51388889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,7,-0.64,28,43.41220091,13.51128472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,7,-0.57,33,39.4227856,13.30868056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,7,-0.26,24,26.03337028,14.40607639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,7,0,37,23.84395497,13.00347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,7,-0.09,57,17.25453966,12.00086806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,7,-0.17,48,15.46512435,12.49826389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,7,-0.26,53,16.77570903,11.99565972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,8,-0.64,23,32.58629372,13.99305556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,8,-0.57,28,35.29687841,13.09045139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,8,-0.34,31,20.20746309,13.78784722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,8,-0.09,48,20.31804778,13.68524306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,8,-0.17,43,23.22863247,13.18263889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,8,-0.34,66,21.83921716,13.48003472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,8,-0.42,61,19.04980184,12.97743056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,8,-0.42,35,20.56038653,12.37482639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A,9,-0.57,22,39.47097122,12.17222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,9,-0.57,42,33.5815559,12.66961806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,9,-0.34,38,31.19214059,11.96701389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,9,-0.34,37,27.70272528,14.06440972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,E,9,-0.5,56,21.01330997,12.56180556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,F,9,-0.57,81,23.82389465,16.75920139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G,9,-0.57,63,22.03447934,14.05659722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
