Grid,Column,Row,Northness,Vege_heig_max,Soil_moist_4_final,Soil_temp_4_adj
6,G,12,0.829037573,36,55.72132229,11.64769903
6,H,12,-0.978147601,30,46.41724191,9.553175334
6,A,13,-0.342020143,57,32.34649486,13.15865163
6,B,13,-1.84E-16,54,40.20908115,12.96412793
6,C,13,-1.84E-16,38,47.87166743,13.86960423
6,D,13,-0.034899497,37,42.96758705,13.67508053
6,E,13,0.587785252,31,62.39684001,11.68055683
6,F,13,-0.64278761,45,58.72609296,10.18603313
6,G,13,0.309016994,48,56.72201258,10.39150943
6,H,13,-0.984807753,43,55.2179322,12.59698573
6,A,14,-0.848048096,42,29.64718515,13.50246203
6,B,14,-0.927183855,43,46.70977144,13.20793833
6,C,14,-0.342020143,47,47.17235772,12.11341463
6,D,14,-0.615661475,27,63.53494401,10.41889093
6,E,14,-0.669130606,42,67.16419696,13.62436723
6,F,14,0.034899497,47,54.36011658,13.52984353
6,G,14,-0.927183855,51,32.9560362,13.03531983
6,H,14,-0.529919264,33,38.48528915,11.64079613
6,A,15,0.99756405,39,42.01454211,13.24627243
6,B,15,0.034899497,47,44.27712839,12.95174873
6,C,15,-0.034899497,32,39.87304801,13.55722503
6,D,15,0.994521895,37,60.90230097,12.16270133
6,E,15,0.587785252,39,50.06488725,11.56817763
6,F,15,0.139173101,55,40.26080687,13.37365393
6,G,15,-0.173648178,42,31.92339316,13.47913023
6,H,15,-0.994521895,43,28.95264611,13.48460653
6,A,16,-0.069756474,33,53.54856573,12.19008283
6,B,16,-0.104528463,29,43.87781868,12.29555913
6,C,16,-0.984807753,7,63.80707164,11.60103543
6,D,16,0.069756474,33,56.86965792,12.40651173
6,E,16,-0.939692621,54,41.23224421,13.21198803
6,F,16,-0.5,58,30.56149716,13.21746434
6,G,16,-0.999390827,46,25.52408345,13.02294064
6,H,16,-0.743144825,49,33.3533364,14.12841694
6,A,17,-0.951056516,29,68.84925602,10.43389324
6,B,17,-0.587785252,42,61.14517564,11.73936954
6,C,17,0.104528463,49,64.44109526,12.94484584
6,D,17,0.342020143,29,44.77034821,12.15032214
6,E,17,0.275637356,61,25.66626783,11.25579844
6,F,17,-0.809016994,47,32.66218745,12.16127474
6,G,17,-0.529919264,47,27.42477374,13.36675104
6,H,17,-0.984807753,47,32.18736002,14.47222734
6,A,18,-0.939692621,34,62.41661298,10.37770364
6,B,18,0.207911691,64,53.77919926,12.48317994
6,C,18,-0.587785252,31,64.70845222,12.58865624
6,D,18,-0.939692621,34,39.1710385,13.09413254
6,E,18,-0.5,49,19.40029146,12.99960884
6,F,18,-0.913545458,45,27.56287774,13.30508514
6,G,18,-0.999390827,52,25.92546403,13.51056144
6,H,18,-0.615661475,44,32.45471698,13.61603774
6,A,19,-0.743144825,36,60.31730327,12.02151404
6,B,19,0.615661475,30,47.64655622,13.32699034
6,C,19,-0.529919264,37,45.54247584,13.73246664
6,D,19,-0.173648178,37,34.27172879,13.03794294
6,E,19,-0.939692621,53,31.96764841,13.54341924
6,F,19,-0.898794046,36,34.06356803,13.14889554
6,G,19,-0.64278761,36,35.09282098,13.55437184
6,H,19,-0.809016994,43,29.4887406,13.55984814
6,A,20,-0.990268069,29,53.25132689,11.06532444
6,B,20,0.469471563,34,43.71391318,13.57080074
6,C,20,-0.99756405,31,24.87649946,13.67627704
6,D,20,-0.999390827,47,28.00575242,13.48175334
6,E,20,-0.984807753,43,29.98500537,13.98722964
6,F,20,-0.978147601,37,25.69759166,13.59270594
6,G,20,0.965925826,42,35.99351127,13.09818224
6,H,20,-0.241921896,42,28.65609756,13.60365854
4,A,1,0.999390827,46,33.5550813,10.81554878
4,B,1,0.927183855,39,32.7516567,10.42014496
4,C,1,0.866025404,41,37.48156542,10.42474114
4,D,1,0.990268069,38,30.31147415,10.22933732
4,E,1,0.939692621,45,35.50804955,9.833933502
4,F,1,0.978147601,35,33.03795828,9.638529682
4,G,1,0.848048096,40,40.10120034,10.44312586
4,H,1,0.984807753,38,34.8644424,10.14772204
4,A,2,0.970295726,44,43.86101779,10.05231822
4,B,2,0.951056516,52,38.45759319,10.3569144
4,C,2,0.99756405,49,36.15416858,10.66151058
4,D,2,0.984807753,42,32.88407731,10.66610676
4,E,2,0.990268069,46,37.44731937,9.370702945
4,F,2,0.990268069,44,43.9772281,9.475299126
4,G,2,0.99756405,46,30.24047016,10.17989531
4,H,2,0.951056516,37,36.63704556,10.68449149
4,A,3,0.99756405,52,30.23362095,10.68908767
4,B,3,0.866025404,43,30.09686302,10.49368385
4,C,3,0.984807753,44,33.82677174,10.29828003
4,D,3,1,33,39.25668047,10.10287621
4,E,3,0.990268069,49,45.0865892,10.40747239
4,F,3,0.848048096,50,34.31649793,10.51206857
4,G,3,0.984807753,39,35.14640666,10.41666475
4,H,3,0.898794046,38,42.94298205,10.62126093
4,A,4,0.939692621,54,27.90622411,10.12585711
4,B,4,0.994521895,52,33.86946618,10.43045329
4,C,4,0.913545458,51,40.9993749,10.73504947
4,D,4,0.99756405,42,40.66261697,10.73964565
4,E,4,0.99756405,43,37.89252569,11.04424183
4,F,4,0.961261696,42,39.18910109,10.94883801
4,G,4,0.984807753,36,36.38567648,10.15343419
4,H,4,0.69465837,44,42.14891855,10.75803037
4,A,5,1,55,44.74549394,10.36262655
